PLAYER,YEAR,AGE,GP,W,L,MP,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
AJ Hammons,2017,24,22.00,4.00,18.00,7.40,76.20,23.80,50.00,29.20,31.30,4.20,18.80,12.50,20.80,91.70,8.30,100.00,0.00,94.10,5.90
AJ Price,2014,27,28.00,15.00,13.00,3.50,52.20,47.80,59.10,40.90,40.90,11.40,0.00,11.40,18.20,23.10,76.90,83.30,16.70,42.10,57.90
AJ Price,2015,28,26.00,11.00,15.00,12.40,58.40,41.60,54.10,31.60,33.80,3.80,12.00,21.10,22.60,11.10,88.90,66.70,33.30,27.50,72.50
Aaron Brooks,2014,29,72.00,42.00,30.00,21.60,57.30,42.70,42.50,9.90,44.70,10.90,12.90,13.80,32.60,13.90,86.10,69.80,30.20,36.90,63.10
Aaron Brooks,2015,30,82.00,50.00,32.00,23.00,61.70,38.30,46.80,10.50,38.10,9.50,15.20,7.10,36.30,12.60,87.40,61.20,38.80,29.70,70.30
Aaron Brooks,2016,31,69.00,36.00,33.00,16.10,60.60,39.40,49.70,12.20,40.30,8.40,10.00,7.70,37.50,9.00,91.00,57.60,42.40,26.10,73.90
Aaron Brooks,2017,32,65.00,36.00,29.00,13.70,57.30,42.70,45.30,17.40,44.70,7.50,9.90,12.40,28.00,9.60,90.40,58.30,41.70,28.90,71.10
Aaron Brooks,2018,33,32.00,19.00,13.00,5.90,55.10,44.90,45.30,21.30,44.00,2.70,10.70,10.70,24.00,11.80,88.20,81.80,18.20,39.30,60.70
Aaron Gordon,2015,19,47.00,14.00,33.00,17.00,76.90,23.10,65.80,4.10,16.00,21.00,18.10,25.10,61.70,48.80,51.30,92.30,7.70,54.80,45.20
Aaron Gordon,2016,20,78.00,32.00,46.00,23.90,75.50,24.50,64.50,8.90,17.50,17.70,17.90,20.60,55.60,51.70,48.30,97.60,2.40,58.80,41.20
Aaron Gordon,2017,21,80.00,29.00,51.00,28.70,69.10,30.90,62.00,13.50,22.70,17.40,15.30,17.20,48.50,50.30,49.70,84.40,15.60,57.00,43.00
Aaron Gordon,2018,22,58.00,19.00,39.00,32.90,60.50,39.50,50.90,10.20,33.80,14.30,15.40,15.20,40.70,48.80,51.20,83.50,16.50,59.50,40.50
Aaron Gordon,2019,23,78.00,40.00,38.00,33.80,66.80,33.20,56.00,9.30,29.10,12.00,14.80,13.70,46.70,50.40,49.60,84.30,15.70,59.10,40.90
Aaron Gray,2014,29,37.00,12.00,25.00,9.60,98.40,1.60,83.10,9.20,0.00,3.10,16.90,10.80,73.80,66.70,33.30,0.00,0.00,66.70,33.30
